Mobile =  296  AMPages =  368
seq	sites	mobile	AMPage	Mobile-AMPage
42	yet-another-study-shows-significant-drops-organic-clicks-featured-snippets-276927	15037.737983	18425.833077	-3388.0950939999984
43	ppc-paydirt-check-top-paid-search-columns-2015-237929	15174.619843	21781.591427	-6606.971583999999
44	seo-right-business-257915	13635.812337	2592.989307	11042.82303
45	adwords-ad-rank-changes-bid-query-meaning-275000	23403.011747	30262.388053	-6859.376305999998
46	googles-recent-rlsa-updates-mean-advertisers-260417	12637.022725	19654.192788	-7017.170063
47	search-pics-google-scary-room-lion-chair-swing-bing-hot-air-balloon-277204	22359.7689	29708.835594	-7349.066694000001
48	bing-updates-dmca-takedowns-copyright-removal-process-273615	31184.820331	8439.998418	22744.821913
49	see-google-showing-even-shopping-ads-desktop-season-262896	6908.433509	15729.913666	-8821.480157
50	three-important-data-segmentations-google-paid-search-analysis-253761	29565.012796	25256.564603	4308.448193
51	googles-latest-search-update-gives-art-lovers-deeper-dive-masterpieces-276063	2989.721812	13242.404717	-10252.682905
52	buyers-guide-content-marketing-tools-275035	3435.724045	9413.036619	-5977.3125740000005
53	planning-seo-success-2016-238896	7286.56129	28450.722999	-21164.161709
54	google-officially-rolled-new-tabbed-based-local-panel-quick-access-reviews-276509	21336.614157	3700.925475	17635.688682
55	google-shopping-ads-display-pilot-274251	26670.60561	29073.964652	-2403.359042
56	10-questions-ask-selecting-marketing-automation-software-277796	17720.981787	28889.877185	-11168.895398
57	googles-shaky-pitch-advertisers-let-dsas-handle-queries-264243	26320.725815	25030.995831	1289.7299840000014
58	josephine-baker-google-doodle-honors-jazz-age-icon-highlights-civil-rights-work-276279	24251.313487	31624.565354	-7373.251866999999
59	help-wanted-hiring-associate-features-editor-213952	16900.272607	26279.005306	-9378.732699
60	eat-local-top-10-local-search-columns-2016-264767	15657.089491	11942.699045	3714.3904460000012
61	location-marketers-need-embrace-whimsical-visual-storytelling-274673	15950.578325	15566.482682	384.09564300000056
62	theres-still-time-feed-search-marketing-obsession-smx-west-270808	8626.383771	24696.297985	-16069.914214
63	seo-missing-piece-brand-protection-276652	30928.2685	23811.736194	7116.532305999997
64	data-google-monthly-search-volume-dwarfs-rivals-mobile-advantage-269120	19339.017691	20124.025396	-785.007705
65	google-shortcuts-next-gen-local-discovery-tool-274411	20260.409072	23086.914549	-2826.5054770000024
66	drive-calls-customers-display-ads-274113	9629.665716	12215.335702	-2585.669986000001
67	well-played-google-advertisers-finally-get-device-bidding-controls-249644	10508.865463	13106.717933	-2597.85247
68	google-posts-now-live-google-business-users-277710	26127.988753	4590.917834	21537.070919
69	top-10-agency-considerations-marketing-automation-275832	23726.454741	14984.935125	8741.519616000001
70	bing-ads-competitor-metrics-277853	24784.38463	10287.769914	14496.614716
71	google-authority-metric-274231	9670.271832	31475.138297	-21804.866465
72	adwords-maximize-conversions-smart-bidding-276064	5736.336109	17369.429935	-11633.093826
73	dmoz-has-officially-closed-271530	26172.367441	10677.694503	15494.672937999998
74	looking-for-black-friday-deals-bing-flyer-ads-retailer-circulars-263997	12864.61325	16498.29519	-3633.6819400000004
75	smx-west-just-days-away-reserve-seat-now-271166	6363.661285	8789.040568	-2425.379283
76	google-mobile-image-search-adds-new-quick-filters-274747	12183.019651	13284.065003	-1101.0453519999992
77	bing-audience-targeting-in-market-custom-audiences-277080	12675.263566	3027.286057	9647.977509
78	bing-product-ads-inventory-feed-search-query-product-level-273674	18621.302467	22863.412981	-4242.110514
79	google-adwords-custom-dashboards-report-editor-test-275723	16178.544336	13199.927404	2978.616932000001
80	chromes-devtools-seo-10-ways-use-seo-audits-266433	11448.064943	27335.102335	-15887.037392
81	google-now-removing-medical-records-search-results-277739	24429.085297	30370.657093	-5941.571796
82	google-adwords-keyword-bidding-interface-change-274949	30781.413985	5007.184104	25774.229881
83	seo-website-design-everything-need-know-272899	7746.595022	19250.795226	-11504.200203999997
84	eu-ready-fine-google-billions-shopping-search-case-report-276190	12451.005113	22188.646516	-9737.641403000001
85	google-home-can-now-support-distinguish-six-separate-users-273497	15777.987032	14186.279727	1591.7073050000017
86	local-seo-wordpress-websites-240565	21503.690956	8210.802073	13292.888882999998
87	mad-scientist-successful-local-seo-273241	4081.189211	7828.210313	-3747.0211019999997
88	smb-websites-matter-anymore-yp-doubles-yes-new-pro-seo-product-276727	7916.7398	21575.891764	-13659.151964
89	bing-ads-editor-gets-review-extension-support-better-keyword-import-273445	18290.518103	26086.087296	-7795.569193000003
90	5-reasons-websites-still-matter-local-search-2017-275080	14654.688349	18794.832722	-4140.144372999999
91	ppc-data-new-vs-existing-customers-sheds-light-user-behavior-optimization-opportunities-243412	11904.479428	3203.393272	8701.086156000001
92	http-https-seos-guide-securing-website-246940	5484.922471	11689.738248	-6204.815777
93	google-search-app-ios-gains-gboard-trending-widget-3d-touch-272101	11780.388303	28707.619682	-16927.231379
94	auditing-hreflang-annotations-common-issues-avoid-219483	17596.429473	4717.323711	12879.105762
95	participate-in-our-audience-survey-enter-to-win-a-50-amazon-gift-card-230299	12045.703393	22993.580428	-10947.877035000001
96	biggest-google-ad-updates-also-quietest-258423	14868.119172	27785.622722	-12917.50355
97	searchcap-bing-visual-search-microsoft-expands-bing-rewards-uk-276164	19750.821412	16273.94672	3476.8746920000012
98	google-wont-build-featured-snippets-analytics-search-console-277008	30084.555106	24070.69567	6013.859435999999
99	report-google-assistant-bests-rivals-questions-answered-overall-accuracy-274003	16638.197099	18378.817039	-1740.6199400000005
100	help-wanted-were-hiring-a-social-media-reporter-238626	14055.785029	10121.072679	3934.71235
101	organic-food-thought-top-things-seo-columns-2015-237859	5602.825298	26919.740741	-21316.915443
102	4-reasons-ppc-programs-can-fail-276355	27225.573199	19892.788171	7332.785027999998
103	google-posts-expands-271770	28607.676528	6943.609644	21664.066884
104	year-review-search-engine-lands-top-10-columns-2015-237752	23951.627987	25368.158817	-1416.5308299999997
105	survey-43-percent-marketers-say-75-percent-content-not-consumed-277626	18569.002986	11607.355732	6961.6472539999995
106	authoritative-links-search-engine-lands-10-top-link-week-columns-2015-237917	20171.815901	26773.357492	-6601.541590999997
107	antikythera-mechanism-google-doodle-honors-ancient-astronomical-tool-275178	17506.225237	13999.841476	3506.383760999999
108	seo-advent-calendar-24-tips-seo-success-237121	3128.997793	30517.356832	-27388.359039000003
109	learn-basics-programmatic-advertising-2-275356	9835.576218	11362.599199	-1527.022981
110	rip-dmoz-open-directory-project-closing-270291	3895.363852	7659.644804	-3764.2809519999996
111	seo-2017-mobile-optimisation-competitive-advantage-265760	26814.071206	27930.599494	-1116.5282879999977
112	2017-periodic-table-of-seo-factors-276790	7580.267457	3748.397864	3831.869593
113	discovering-opportunities-drive-mobile-web-app-optimization-strategy-237625	4129.504833	5519.546268	-1390.041435
114	searchcap-google-featured-snippets-yext-app-directory-seo-277048	29866.826782	12982.616608	16884.210174
115	need-know-referrer-policy-276185	27534.317056	19007.174578	8527.142478000002
116	no-ok-google-cortana-update-can-make-default-assistant-android-277325	18972.244799	22144.457232	-3172.2124330000006
117	secret-writing-awesome-local-content-255234	31670.427682	16078.159733	15592.267949000001
118	enterprise-social-media-management-software-marketers-guide-new-sixth-edition-276411	9758.883746	9500.829351	258.0543949999992
119	wsj-first-click-free-269545	30745.46331	21190.601848	9554.861462
120	save-date-smx-east-back-nyc-oct-24-26-277700	31440.427261	19047.123655	12393.303606000001
121	google-expands-offline-attribution-launches-store-sales-measurement-275621	9249.914483	26513.263408	-17263.348925
122	google-flag-upsetting-offensive-content-271119	26962.036189	6770.728494	20191.307695
123	local-seo-beyond-the-browser-244797	15449.656613	7495.766552	7953.890060999999
124	yext-launches-app-directory-26-partners-two-way-data-exchange-276971	2560.296177	24601.329381	-22041.033204
125	gilbert-baker-google-doodle-celebrates-lgbt-rights-activists-creator-iconic-rainbow-flag-276188	16687.887602	13063.987152	3623.900449999999
126	adwords-2017-roadmap-loaded-artificial-intelligence-276303	5406.154137	9541.215429	-4135.061291999999
127	nominations-wanted-list-whos-naughty-nice-264696	30010.51665	7372.119041	22638.397609
128	organic-search-party-top-seo-columns-2016-264754	26629.02347	29443.378002	-2814.354532000001
129	searchcap-googles-latest-smart-bidding-option-zaha-hadid-google-doodle-276102	5993.38934	21453.926257	-15460.536917
130	google-expands-fact-checking-272698	3296.289632	19990.625029	-16694.335397
131	google-maps-ad-traffic-steadily-growing-271908	25817.766082	25220.927724	596.8383579999972
132	time-consider-local-marketing-automation-software-275283	4809.9439	27032.353588	-22222.409688
133	its-official-google-says-more-searches-now-on-mobile-than-on-desktop-220369	11656.116305	4966.842644	6689.273660999999
134	optimize-content-seos-writers-274956	3991.695762	9283.426382	-5291.73062
135	copie-editor-wantd-applie-within-220730	19292.502993	27859.034539	-8566.531546000002
136	tis-season-6-ways-prepare-holiday-season-262623	29938.169963	12130.059317	17808.110646
137	google-search-quality-crisis-272174	11733.920257	21963.087005	-10229.166748000001
138	google-attribution-search-marketers-need-know-275751	16597.624653	10944.430731	5653.193921999999
139	google-adwords-ecpc-bid-cap-removed-274824	17677.927335	30956.477654	-13278.550318999998
140	google-shutter-trusted-stores-program-favor-new-reviews-program-270583	13914.737301	8004.07877	5910.658530999999
141	google-news-spammed-drug-spam-dating-sites-276832	13960.656292	6582.011736	7378.644555999999
142	study-yelp-drives-higher-conversions-google-facebook-275517	20922.833697	23768.932674	-2846.0989770000015
143	baby-come-back-grow-customer-revenue-people-based-search-marketing-277072	3571.505278	21238.693283	-17667.188005
144	searchcap-bing-ads-editor-update-bing-ads-voice-metrics-danny-sullivan-changes-277872	28974.430519	24328.54571	4645.884809000003
145	local-seo-ranking-2016-beyond-251404	10250.911957	24469.750819	-14218.838862
146	mobile-marketing-vs-store-sales-help-whats-correlation-275779	8912.250339	30298.421775	-21386.171435999997
147	danny-sullivan-277778	28569.79705	9034.500191	19535.296859000002
148	learn-three-proven-methods-winning-additional-ppc-budget-clients-276130	25116.138672	30810.312823	-5694.174150999999
149	way-early-adwords-holiday-testing-guide-256319	31516.811118	16543.559145	14973.251973000002
150	seo-vs-ppc-pros-cons-integrated-approach-274643	6116.096621	6027.752405	88.3442159999995
151	third-door-media-expands-martech-coverage-with-newest-editorial-hire-234848	18527.518999	12494.775089	6032.743909999999
152	take-deep-dive-search-social-attend-workshop-smx-advanced-273835	22448.367602	25444.205348	-2995.837746000001
153	online-reviews-reputation-become-super-credible-220562	28117.927059	9160.649643	18957.277416
154	report-14-marketing-automation-vendors-profiled-updated-2017-277247	21923.378825	12765.420413	9157.958412
155	right-way-get-dynamic-google-adwords-252286	27499.406057	13377.689018	14121.717039000001
156	searchcap-google-redesign-local-panels-adwords-roadmap-artificial-intelligence-276552	31748.791194	11990.945126	19757.846068
157	faq-google-mobile-first-index-262751	30048.150634	13728.236095	16319.914539000001
158	now-can-schedule-offline-conversion-imports-adwords-275307	25901.115107	21535.437512	4365.677595000001
159	googles-project-owl-attack-fake-news-273700	23193.182502	25932.460508	-2739.2780060000005
160	purchases-google-quietly-opens-beta-request-google-merchant-center-275182	31374.056554	9915.41669	21458.639863999997
161	state-digital-advertising-2017-277618	21060.096321	16984.749208	4075.347113
162	key-local-seo-253785	5567.257906	21409.636532	-15842.378626000002
163	bing-adds-trails-near-search-feature-find-perfect-hike-summer-275087	13593.877388	12308.524972	1285.3524160000015
164	retailers-shouldnt-overreact-voice-search-revolution-yet-252047	23536.843571	28415.387601	-4878.544029999997
165	grow-customer-lifetime-value-people-based-search-marketing-276477	28641.928372	10591.792806	18050.135565999997
166	3-actions-get-ready-googles-mobile-search-update-215662	19177.817009	6275.606161	12902.210847999999
167	bing-remarketing-best-kept-secret-274937	18075.163228	26358.392792	-8283.229563999997
168	google-confirms-rolling-new-reviews-format-hotels-275754	23275.05757	21368.57776	1906.4798100000007
169	google-publishes-best-practices-search-engine-friendly-progressive-web-apps-pwas-262871	3526.587692	3940.951004	-414.36331199999995
170	7-changes-facebook-make-real-local-search-player-276964	13690.177366	10853.453626	2836.7237399999995
171	google-introduces-candidate-cards-for-presidential-election-season-241026	9958.274241	4255.372823	5702.9014179999995
172	searchcap-seo-success-factors-google-news-spam-bing-ads-device-bidding-276903	13549.330399	24857.418892	-11308.088493000001
173	account-based-marketing-guide-modern-marketers-276012	15259.545394	8353.664309	6905.881085000001
174	google-exact-match-close-variants-word-order-function-words-271395	22497.188329	24558.388584	-2061.2002549999997
175	dear-google-4-suggestions-fixing-massive-problem-fake-reviews-276445	27187.367932	9704.406104	17482.961828
176	enterprise-call-analytics-platforms-marketers-guide-updated-2017-274711	5364.95544	17324.342609	-11959.387169
177	summer-solstice-2017-google-doodle-marks-longest-day-year-277555	23233.956755	26203.059086	-2969.102331000002
178	beyond-seo-managing-management-276022	30710.65652	17199.345261	13511.311259000002
179	google-shopping-ads-retailer-outlet-used-items-263725	5141.034693	2790.267905	2350.7667879999995
180	compare-paid-search-organic-search-without-sounding-foolish-275575	2758.165824	20869.075973	-18110.910149
181	keeping-increasing-demands-content-marketing-today-272026	15397.135486	30664.777694	-15267.642208000001
182	7-great-reasons-attend-smx-advanced-2-weeks-276095	5778.170978	6858.086085	-1079.9151069999998
183	important-question-ask-local-seo-251702	29753.533455	8575.964029	21177.569426000002
184	year-review-search-engine-lands-top-10-columns-2016-264747	2517.282449	14411.006576	-11893.724127
185	get-google-review-links-g-update-237190	19132.025605	25146.735927	-6014.710322000003
186	locally-sourced-search-engine-lands-top-10-local-search-columns-2015-237927	31038.871702	23442.226472	7596.645230000002
187	compare-6-top-content-management-systems-277117	13337.177436	4887.587383	8449.590053
188	local-seo-doesnt-happen-vacuum-249679	30447.384019	29147.248459	1300.1355600000024
189	google-assistant-weeks-for-android-270538	21660.668161	20824.694643	835.9735180000025
190	5-must-technical-seo-audits-validations-2017-273207	5443.577549	12583.207796	-7139.630247000001
191	google-logo-goes-green-promote-companys-first-official-environmental-report-276319	6327.540274	8533.261377	-2205.7211030000008
192	google-adwords-store-visits-distance-location-reports-263878	13427.269787	13459.625456	-32.35566900000049
193	1-2-3-smile-say-hi-to-search-engine-land-on-instagram-220237	25566.673882	16322.072788	9244.601094
194	google-home-beauty-beast-promo-271406	25524.410932	9117.996966	16406.413966
195	forget-testimonials-page-2016-year-reviews-239395	11494.70269	31285.21271	-19790.51002
196	google-shopping-feed-optimization-speak-customers-language-write-compelling-product-titles-266170	15126.471102	21617.751804	-6491.280702
197	dont-miss-smx-advanced-year-register-now-save-400-274247	25193.212696	8262.845513	16930.367183
198	pinterest-developed-computer-vision-technology-power-visual-search-users-brands-276942	30338.54165	17158.481725	13180.059924999998
199	google-adds-fidget-spinner-basket-easter-eggs-277473	30891.968269	14691.521714	16200.446555
200	learn-best-practices-mobile-search-store-sales-276273	28309.342532	16127.028234	12182.314298
201	google-assistant-guide-270312	10170.420444	13155.624644	-2985.2042
202	times-martech-last-chance-attend-274223	24991.980401	26847.690931	-1855.7105300000003
203	search-pics-google-bathtub-table-bing-lunchbox-youtube-stairs-277753	25637.002218	17850.068019	7786.934199000003
204	hotel-ads-price-trends-275390	29300.203395	9874.687982	19425.515413
205	canonical-chaos-doubling-duplicate-content-264078	18200.801883	8703.639473	9497.16241
206	pinterests-lens-update-adds-snapchat-style-look-fashion-sense-277540	24740.922411	5273.425348	19467.497063
207	rlsa-vs-customer-match-search-similar-different-237453	5095.950445	25294.681755	-20198.731310000003
208	7-unannounced-updates-google-business-2017-274086	29525.743233	31549.55505	-2023.811816999998
209	need-get-google-business-support-use-twitter-270041	18660.321005	14367.988664	4292.332341000001
210	10-big-changes-search-20-years-covering-246421	13508.808596	3386.35287	10122.455726
211	seo-shops-12-tips-xmas-234353	6493.193466	17808.067444	-11314.873978
212	google-search-console-warns-nonsecure-collection-passwords-upcoming-chrome-browser-release-266486	27382.09338	27823.153028	-441.0596480000022
213	3-free-adwords-testing-tools-adopt-today-270116	26440.002056	16856.807848	9583.194208
214	paid-search-kpi-says-273702	7422.647736	20614.056075	-13191.408339000001
215	bing-visual-search-lets-search-specific-objects-within-images-276156	10553.609087	20393.524636	-9839.915548999998
216	time-running-score-deepest-discounts-martech-san-francisco-269787	24296.049542	10634.025416	13662.024126
217	yext-ipo-triumph-local-seo-274548	8671.164581	24208.368538	-15537.203956999998
218	searching-call-analytics-platform-277391	30228.09064	16815.654504	13412.436136
219	keep-customers-cheating-267345	20575.585796	25854.165869	-5278.580073000001
220	google-shopping-ads-carousel-youtube-262662	2875.457806	12086.089435	-9210.631629
221	twiggle-offers-plug-play-semantic-search-online-retailers-271568	4679.779122	16456.468154	-11776.689031999998
222	bing-ads-editor-updates-multi-select-277862	14570.738876	19701.461319	-5130.722442999999
223	searchcap-eu-fine-google-seo-reputation-ppc-planning-277261	11407.647294	25332.853318	-13925.206024000001
224	wsj-siri-went-virtual-assistant-market-leader-laggard-276583	6413.176676	27143.448478	-20730.271802
225	eerie-future-adwords-targeting-260922	12541.403403	21100.962879	-8559.559475999999
226	7-key-questions-unlock-growth-opportunities-seo-audits-227428	6232.782985	20435.931754	-14203.148769000001
227	oskar-fischinger-google-doodle-honoring-filmmaker-visual-artist-doubles-musical-instrument-277649	22398.83471	19369.182488	3029.6522220000006
228	pull-live-inventory-data-product-database-place-search-ad-copy-261479	24382.742645	29001.298245	-4618.555600000003
229	perfect-structure-managing-profitable-shopping-ads-276168	27569.767055	2632.236196	24937.530859
230	stop-worrying-google-updates-276482	6683.910088	22683.475046	-15999.564957999999
231	register-smx-advanced-week-reserve-spot-save-400-274672	30194.606155	13023.566119	17171.040036000002
232	true-marketing-automation-predicting-customers-next-move-not-reacting-moment-267817	14533.626097	9324.636819	5208.989278000001
233	business-profile-review-best-practices-tripadvisor-yelp-276247	23491.901262	3247.46846	20244.432802
234	authority-link-building-real-time-penguin-259584	14336.078372	26397.513798	-12061.435426
235	new-rlsa-strategies-search-marketers-2-275675	21150.341666	14095.291033	7055.050633000001
236	baidu-becomes-googles-biggest-ally-mobile-page-speed-271275	11815.575849	17890.252397	-6074.6765479999995
237	solve-mystery-customers-really-want-276259	31708.778503	23039.951552	8668.826951000003
238	eu-sources-say-1-17-billion-antitrust-fine-google-coming-weeks-277215	9000.072438	18747.273816	-9747.201378000002
239	google-advice-switch-m-dot-domain-responsive-mobile-first-index-rollout-277446	15209.932341	31212.433684	-16002.501343
240	just-launched-search-engine-lands-new-martech-today-website-261253	22738.394925	31248.733836	-8510.338910999999
241	call-entries-2017-search-engine-land-awards-274554	28277.625954	18234.833508	10042.792446
242	link-builders-really-want-know-277021	9083.496289	11322.786947	-2239.290658
243	google-rolls-new-event-search-feature-app-mobile-web-274857	5188.595424	23625.225221	-18436.629797
244	smx-advanced-almost-sold-less-100-tickets-left-276468	3484.301587	28038.885779	-24554.584192000002
245	5-successful-b2b-adwords-best-practices-for-any-company-277308	11136.721955	31140.949102	-20004.227146999998
246	advertisers-consider-pausing-google-local-inventory-ads-268081	17126.791884	16029.854134	1096.9377499999991
247	two-major-changes-potentially-coming-eus-right-forgotten-global-implications-275047	14497.995163	2671.143024	11826.852138999999
248	first-page-minimum-bids-continue-to-rise-in-wake-of-google-desktop-serp-changes-245917	14459.757713	30149.648955	-15689.891242
249	searchcap-cortana-android-seo-algorithm-updates-facebook-local-search-277357	25786.716191	16368.571386	9418.144805
250	getting-bottom-google-expanded-text-ad-ctr-cpc-255572	25974.438031	17979.346802	7995.0912290000015
251	google-optimize-surveys-adwords-integrations-275671	6194.471217	20345.969019	-14151.497802
252	googles-one-true-answer-problem-featured-snippets-270549	4384.244022	20960.121792	-16575.877770000003
253	simple-tips-get-app-indexed-ranked-installed-273388	30562.355101	26048.032358	4514.322743000001
254	google-for-jobs-open-to-job-search-sites-developers-277359	27969.024444	13775.47219	14193.552253999998
255	using-call-sms-data-drive-new-customers-274386	28678.270952	24512.452819	4165.818133000001
256	bing-launches-bots-local-businesses-275555	29642.323699	17451.98215	12190.341549
257	report-google-planning-bring-assistant-iphone-275115	30631.560402	19463.913638	11167.646763999997
258	7-ways-small-retailers-can-compete-with-retail-giants-using-google-shopping-269454	3846.927951	22634.677206	-18787.749255
259	kpis-seo-measuring-seo-success-254773	23578.266772	29894.736545	-6316.469773000001
260	google-adwords-quality-score-reporting-improvements-275010	26254.196683	15856.836915	10397.359767999998
261	watch-retail-space-2017-retail-prediction-272463	8092.172944	15077.088279	-6984.915335
262	much-happy-customer-worth-271868	7795.684168	15296.29658	-7500.612412
263	7-real-world-tips-better-social-engagement-275453	5859.954047	21741.460847	-15881.5068
264	10-tips-for-avoiding-shady-seo-providers-245676	6075.290883	29365.51879	-23290.227907
265	seo-power-portfolio-entries-261631	2915.794344	31324.905637	-28409.111293
266	fathers-day-2017-google-doodle-brings-back-cactus-family-mothers-day-277279	16423.777583	7325.256789	9098.520794
267	google-tests-highlights-icons-local-knowledge-panels-275183	25744.512182	7231.657556	18512.854626
268	perfect-local-seo-landing-page-infographic-251604	14944.70506	26883.439888	-11938.734828
269	local-seo-much-tools-266439	9802.951289	11086.400564	-1283.449274999999
270	attend-martech-vendor-agnostic-graduate-level-marketing-technology-management-insights-273005	3803.488573	8950.286819	-5146.798246
271	gboard-android-gets-new-ways-search-emojis-phrase-suggestions-276841	22113.656619	19088.250342	3025.406277000002
272	the-search-engine-land-app-now-live-for-ios-android-229749	23855.464991	8871.204936	14984.260055
273	small-business-seo-questions-answered-276500	10213.11655	19558.675923	-9345.559372999998
274	need-help-explaining-local-search-use-pizza-227448	5947.634057	17074.399527	-11126.765470000002
275	google-announces-assistant-app-discovery-channels-broad-ranking-factors-275360	4474.000158	7147.143033	-2673.1428750000005
276	searchcap-google-mobile-index-bing-ads-market-targeting-pinterest-search-277107	21883.909981	14731.533228	7152.3767530000005
277	google-shopping-ads-so-hot-right-now-the-meteoric-rise-of-plas-248055	14292.198701	20039.456388	-5747.257686999999
278	google-starts-giving-ranking-boost-secure-httpsssl-sites-199446	12727.586898	27105.461912	-14377.875014
279	6-things-need-know-using-facebook-local-search-6-reasons-fb-search-can-dominate-234909	23906.498267	22818.488489	1088.0097779999996
280	google-posts-small-businesses-moves-google-business-276764	19608.156256	29329.054757	-9720.898501000003
281	listen-mother-win-mothers-day-humor-timing-272834	28200.009683	17931.441778	10268.567905
282	is-marketing-art-or-science-272787	4344.237647	28077.117415	-23732.879768
283	googles-efforts-monetize-mobile-pay-off-sites-see-hit-organic-visits-235128	17246.295312	10333.854239	6912.441072999998
284	ai-disrupting-major-industries-276349	8131.216679	27257.189342	-19125.972663
285	reviews-ugc-much-influential-consumers-ads-study-277507	20308.188243	18924.849169	1383.3390739999995
286	searchcap-google-job-schema-google-mobile-first-seo-movie-277502	25603.011356	11567.142599	14035.868756999998
287	seo-movie-aims-trace-rise-internet-marketing-277463	24174.999611	29256.462841	-5081.463230000001
288	seo-zero-moment-truth-242692	5057.642498	26009.235207	-20951.592709
289	can-manage-inventory-google-shopping-247541	14774.69436	16938.187412	-2163.493052
290	googles-location-tracking-better-now-ever-269922	9462.39471	26699.735781	-17237.341071
291	microsoft-expands-bing-rewards-loyalty-program-uk-276132	7625.821304	9201.766844	-1575.9455399999997
